state rawpoll_johnson adjpoll_johnson
Montana 8.7 8.195099
Maine 9.0 6.130181
"North Carolina" 5.0 2.987973
Maryland 6.0 2.984806
Florida 5.0 2.048141
Minnesota 6.0 3.48693
"North Carolina" 9.0 6.137463
Pennsylvania 5.0 2.048141
Florida 6.0 2.131633
"New Hampshire" 13.0 9.488863
Pennsylvania 4.0 3.347528
"North Carolina" 11.0 6.846241
Ohio 6.0 3.048141
Idaho 8.01 7.5051
Kansas 9.0 6.289907
Nevada 9.0 6.463401
U.S. 5.0 4.586251
Utah 5.0 3.269212
Georgia 5.0 2.840318
"North Carolina" 7.0 4.048141
Pennsylvania 8.0 3.386306
Florida 3.0 1.216805
Georgia 10.0 5.311677
U.S. 5.0 1.047777
Georgia 8.0 5.306855
Iowa 9.0 5.704531
"North Carolina" 7.0 5.352058
"New Hampshire" 10.0 7.394052
Pennsylvania 8.0 5.100204
Ohio 7.0 4.987973
Virginia 6.0 3.987973
U.S. 6.0 4.352058
Florida 4.0 1.463402
U.S. 9.0 5.512928
Utah 5.0 3.222632
U.S. 6.6 6.592966
U.S. 5.0 4.443848
Florida 6.0 3.349271
Nevada 5.0 4.081309
Arizona 12.0 7.311677
"New Hampshire" 6.0 3.270528
U.S. 6.0 3.428708
Connecticut 9.0 5.263371
Pennsylvania 5.0 2.607867
Florida 6.0 3.360911
"New York" 8.0 3.686092
Texas 9.9 6.30435
U.S. 6.0 3.121363
Iowa 8.0 5.189121
Iowa 10.0 6.217591
"West Virginia" 2.77 2.265099
U.S. 9.0 5.711617
"Maine CD-1" 7.9 5.563552
"South Carolina" 3.4 0.4890027
Arkansas 5.0 1.476541
Georgia 6.0 2.476541
"Maine CD-2" 10.7 8.363552
Georgia 9.0 5.448731
Wisconsin 11.0 6.659817
Michigan 8.0 4.312103
Kansas 8.0 5.254416
U.S. 6.6 6.451094
Florida 9.0 4.65413
U.S. 4.2 3.008261
U.S. 8.0 4.742254
Maine 9.0 6.663552
"North Carolina" 6.0 2.517318
"New Jersey" 5.0 1.263371
Delaware 5.4 4.895099
"South Dakota" 8.32 7.815099
Kansas 8.0 5.186242
"New Hampshire" 15.0 10.31168
Colorado 10.0 6.448731
Colorado 13.0 9.476541
Iowa 10.0 6.448731
Virginia 8.0 4.594752
Michigan 9.0 5.506645
Virginia 8.0 4.448731
Pennsylvania 4.0 1.514533
U.S. 5.6 4.27518
Illinois 4.05 0.4859072
"South Carolina" 7.0 2.984379
Hawaii 4.78 4.275099
Wisconsin 11.0 7.795454
Maine 2.68 2.175099
"New Jersey" 6.0 2.003714
Colorado 10.0 8.193431
California 2.0 -1.163266
"North Dakota" 8.0 5.331525
Nevada 5.0 2.365592
Washington 14.0 10.83673
Vermont 5.48 4.975099
Nevada 8.0 5.157159
Illinois 6.4 3.195454
"North Dakota" 5.97 5.465099
U.S. 6.9 6.608691
Nevada 8.0 3.311678
Colorado 7.0 5.569018
Colorado 12.0 8.974485
Wyoming 3.51 3.005099
Florida 3.0 0.3803045
Vermont 13.0 9.263371
Ohio 11.0 6.547472
Pennsylvania 8.0 3.547472
Nevada 7.0 2.547472
"North Carolina" 9.0 4.547472
Alaska 8.88 8.375099
Virginia 11.0 7.687182
"New Hampshire" 6.17 5.6651
Pennsylvania 10.0 5.531615
"New York" 8.2 4.419158
U.S. 6.8 5.335781
Ohio 8.0 4.131633
Florida 1.0 -0.7598903
Maine 12.0 8.920671
Florida 5.3 3.102093
Arizona 8.0 4.836734
"Maine CD-2" 8.0 5.130181
Texas 9.0 4.889664
"West Virginia" 4.0 0.8045112
"District of Columbia" 4.0 0.938689
Alaska 16.0 12.93869
"North Carolina" 10.0 6.022974
"District of Columbia" 1.93 1.425099
California 10.0 6.111346
U.S. 6.8 6.387163
