id,release_date,title,vote_average,vote_count,Label
9277,1973-12-25,The Sting,7.9,622,good
38,2004-03-19,Eternal Sunshine of the Spotless Mind,7.9,3652,good
489,1997-12-05,Good Will Hunting,7.9,2811,good
7345,2007-12-28,There Will Be Blood,7.9,1537,good
582,2006-03-15,The Lives of Others,7.9,958,good
857,1998-07-24,Saving Private Ryan,7.9,5048,good
76203,2013-10-18,12 Years a Slave,7.9,3674,good
118340,2014-07-30,Guardians of the Galaxy,7.9,9742,good
1422,2006-10-05,The Departed,7.9,4339,good
3083,1939-10-19,Mr. Smith Goes to Washington,7.9,241,good
14,1999-09-15,American Beauty,7.9,3313,good
603,1999-03-30,The Matrix,7.9,8907,good
627,1996-02-23,Trainspotting,7.8,2655,good
37165,1998-06-04,The Truman Show,7.8,4537,good
122906,2013-08-16,About Time,7.8,2067,good
314365,2015-11-06,Spotlight,7.8,2686,good
524,1995-11-22,Casino,7.8,1307,good
11778,1978-12-08,The Deer Hunter,7.8,921,good
14271,1999-10-22,Beyond the Mat,7.8,17,good
10238,1972-12-21,Cries and Whispers,7.8,115,good
50014,2011-08-09,The Help,7.8,1910,good
194,2001-04-25,Amélie,7.8,3310,good
13223,2008-12-09,Gran Torino,7.8,3086,good
25376,2009-08-13,The Secret in Their Eyes,7.8,626,good
159037,2013-06-07,The Square,7.8,55,good
703,1977-04-19,Annie Hall,7.8,1010,good
11324,2010-02-18,Shutter Island,7.8,6336,good
78705,2004-09-21,Live-In Maid,7.8,3,good
177572,2014-10-24,Big Hero 6,7.8,6135,good
872,1952-04-10,Singin' in the Rain,7.8,727,good
25461,2002-05-16,Raising Victor Vargas,7.8,13,good
266856,2014-11-26,The Theory of Everything,7.8,3311,good
279,1984-10-26,Amadeus,7.8,1076,good
7347,2007-10-12,Elite Squad,7.8,504,good
115,1998-03-06,The Big Lebowski,7.8,2926,good
1091,1982-06-25,The Thing,7.8,1588,good
10681,2008-06-22,WALL·E,7.8,6296,good
21334,1997-08-01,Children of Heaven,7.8,112,good
235,1986-08-22,Stand by Me,7.8,1522,good
48035,1955-01-09,Ordet,7.8,65,good
310569,2015-02-08,The Second Mother,7.8,165,good
5915,2007-09-11,Into the Wild,7.8,3045,good
762,1975-03-13,Monty Python and the Holy Grail,7.8,1708,good
68718,2012-12-25,Django Unchained,7.8,10099,good
947,1962-12-10,Lawrence of Arabia,7.8,851,good
8885,2008-06-25,Waltz with Bashir,7.8,291,good
5925,1963-06-20,The Great Escape,7.8,717,good
149,1988-07-16,Akira,7.8,773,good
613,2004-09-08,Downfall,7.7,1037,good
11036,2004-06-25,The Notebook,7.7,3067,good
59440,2011-09-09,Warrior,7.7,1272,good
873,1985-12-18,The Color Purple,7.7,338,good
24,2003-10-10,Kill Bill: Vol. 1,7.7,4949,good
47686,1997-01-01,Dream with the Fishes,7.7,10,good
12093,2002-08-23,Lilya 4-ever,7.7,139,good
3175,1975-12-18,Barry Lyndon,7.7,505,good
673,2004-05-31,Harry Potter and the Prisoner of Azkaban,7.7,5877,good
593,1972-03-20,Solaris,7.7,357,good
640,2002-12-25,Catch Me If You Can,7.7,3795,good
6977,2007-11-08,No Country for Old Men,7.7,3003,good
752,2006-03-15,V for Vendetta,7.7,4442,good
3034,1974-12-15,Young Frankenstein,7.7,854,good
745,1999-08-06,The Sixth Sense,7.7,3147,good
197,1995-05-24,Braveheart,7.7,3336,good
85,1981-06-12,Raiders of the Lost Ark,7.7,3854,good
14160,2009-05-13,Up,7.7,6870,good
107,2000-09-01,Snatch,7.7,2912,good
96721,2013-09-02,Rush,7.7,2277,good
309,1998-05-20,The Celebration,7.7,207,good
70,2004-12-15,Million Dollar Baby,7.7,2439,good
223,1940-04-12,Rebecca,7.7,336,good
60243,2011-03-15,A Separation,7.7,469,good
3078,1934-02-22,It Happened One Night,7.7,275,good
