Date,Nino 3
1980-April-01,0.04
1981-April-01,-0.33
1982-April-01,0.2
1983-April-01,1.73
1984-April-01,-0.43
1985-April-01,-0.98
1986-April-01,-0.45
1987-April-01,0.95
1988-April-01,-0.75
1989-April-01,-0.88
1990-April-01,0.14
1991-April-01,-0.09
1992-April-01,1.32
1993-April-01,0.92
1994-April-01,-0.43
1995-April-01,-0.23
1996-April-01,-0.55
1997-April-01,0.28
1998-April-01,1.51
1999-April-01,-0.63
2000-April-01,-0.3
2001-April-01,-0.03
2002-April-01,0.06
2003-April-01,-0.42
2004-April-01,-0.04
2005-April-01,0.14
2006-April-01,-0.26
2007-April-01,-0.45
2008-April-01,-0.47
2009-April-01,-0.07
2010-April-01,0.53
2011-April-01,-0.36
2012-April-01,0.0
2013-April-01,-0.11
2014-April-01,0.22
2015-April-01,0.75
2016-April-01,0.78
2017-April-01,0.42
2018-April-01,-0.43
1870-May-01,-1.15
1871-May-01,-0.84
1872-May-01,-0.8
1873-May-01,-0.82
1874-May-01,-0.83
1875-May-01,-1.04
1876-May-01,-1.44
1877-May-01,0.37
1878-May-01,0.66
1879-May-01,-1.0
1880-May-01,-0.7
1881-May-01,-0.1
1882-May-01,-0.24
1883-May-01,-0.43
1884-May-01,0.29
1885-May-01,-0.04
1886-May-01,-1.19
1887-May-01,-0.96
1888-May-01,0.57
1889-May-01,0.09
1890-May-01,-1.07
1891-May-01,0.27
1892-May-01,-0.89
1893-May-01,-1.18
1894-May-01,-0.9
1895-May-01,-0.1
1896-May-01,0.06
1897-May-01,-0.19
1898-May-01,-0.67
1899-May-01,0.05
1900-May-01,0.51
1901-May-01,-0.56
1902-May-01,0.23
1903-May-01,-0.31
1904-May-01,-0.24
1905-May-01,1.23
1906-May-01,-0.18
1907-May-01,-0.69
1908-May-01,-0.8
1909-May-01,-0.69
1910-May-01,-1.35
1911-May-01,-1.32
1912-May-01,0.09
1913-May-01,-0.49
1914-May-01,-0.24
1915-May-01,0.65
1916-May-01,-0.8
1917-May-01,-0.15
1918-May-01,0.14
1919-May-01,0.65
1920-May-01,0.02
1921-May-01,-0.9
1922-May-01,-0.13
1923-May-01,-0.27
1924-May-01,-1.14
1925-May-01,-0.22
1926-May-01,0.82
1927-May-01,-0.61
1928-May-01,-0.28
1929-May-01,-0.02
1930-May-01,-0.12
1931-May-01,0.35
1932-May-01,0.45
1933-May-01,-0.51
1934-May-01,-0.44
1935-May-01,-0.38
1936-May-01,-0.37
1937-May-01,-0.7
1938-May-01,-0.37
1939-May-01,-0.16
1940-May-01,0.22
1941-May-01,1.2
1942-May-01,-0.29
1943-May-01,-0.18
1944-May-01,-0.02
1945-May-01,-0.07
1946-May-01,-0.62
1947-May-01,-0.43
1948-May-01,-0.01
1949-May-01,-0.12
1950-May-01,-1.33
1951-May-01,-0.12
1952-May-01,-0.52
1953-May-01,0.36
1954-May-01,-1.25
1955-May-01,-1.52
1956-May-01,-0.67
1957-May-01,0.56
1958-May-01,-0.16
1959-May-01,-0.15
1960-May-01,-0.17
1961-May-01,0.06
1962-May-01,-0.73
1963-May-01,0.06
1964-May-01,-1.38
1965-May-01,0.54
1966-May-01,-0.6
1967-May-01,-0.41
1968-May-01,-0.85
1969-May-01,0.65
1970-May-01,-0.62
1971-May-01,-0.87
1972-May-01,0.49
1973-May-01,-0.89
1974-May-01,-0.37
1975-May-01,-0.93
1976-May-01,-0.07
1977-May-01,-0.22
1978-May-01,-0.81
1979-May-01,0.08
1980-May-01,0.07
1981-May-01,-0.21
1982-May-01,0.63
1983-May-01,1.96
1984-May-01,-0.77
1985-May-01,-1.11
1986-May-01,-0.63
1987-May-01,1.07
1988-May-01,-1.3
1989-May-01,-0.78
1990-May-01,0.24
1991-May-01,0.37
1992-May-01,1.38
1993-May-01,1.05
1994-May-01,-0.21
1995-May-01,-0.53
1996-May-01,-0.53
1997-May-01,1.07
1998-May-01,1.25
1999-May-01,-0.59
2000-May-01,-0.5
2001-May-01,-0.31
2002-May-01,0.15
2003-May-01,-0.89
2004-May-01,-0.32
2005-May-01,0.25
2006-May-01,-0.14
2007-May-01,-0.76
2008-May-01,-0.19
2009-May-01,0.34
2010-May-01,-0.01
2011-May-01,-0.23
2012-May-01,0.01
2013-May-01,-0.67
2014-May-01,0.55
2015-May-01,0.99
2016-May-01,0.21
2017-May-01,0.31
2018-May-01,-0.18
1870-June-01,-0.99
1871-June-01,-0.52
1872-June-01,-0.61
1873-June-01,-0.39
1874-June-01,-0.78
1875-June-01,-0.65
1876-June-01,-0.64
1877-June-01,0.51
1878-June-01,0.73
1879-June-01,-0.56
1880-June-01,-0.65
1881-June-01,0.06
1882-June-01,-0.7
1883-June-01,-0.08
1884-June-01,-0.04
1885-June-01,-0.2
1886-June-01,-1.28
1887-June-01,-0.38
1888-June-01,0.6
1889-June-01,0.01
1890-June-01,-0.92
1891-June-01,0.46
1892-June-01,-0.68
1893-June-01,-0.94
1894-June-01,-0.64
1895-June-01,-0.14
1896-June-01,0.09
1897-June-01,-0.05
1898-June-01,-0.51
1899-June-01,0.2
1900-June-01,0.84
1901-June-01,-0.46
1902-June-01,0.88
1903-June-01,0.05
1904-June-01,0.24
1905-June-01,0.88
1906-June-01,0.0
1907-June-01,-0.32
1908-June-01,-0.08
1909-June-01,-1.27
1910-June-01,-0.83
1911-June-01,-0.54
1912-June-01,-0.16
1913-June-01,-0.15
1914-June-01,-0.03
1915-June-01,1.42
1916-June-01,-0.81
1917-June-01,0.15
1918-June-01,0.8
1919-June-01,0.68
1920-June-01,0.21
1921-June-01,-0.16
1922-June-01,-0.63
1923-June-01,-0.04
1924-June-01,-0.9
1925-June-01,0.34
1926-June-01,0.54
1927-June-01,-0.26
1928-June-01,-0.53
1929-June-01,0.14
1930-June-01,0.23
1931-June-01,0.14
1932-June-01,0.43
1933-June-01,-0.74
1934-June-01,-0.18
1935-June-01,-0.54
1936-June-01,-0.56
1937-June-01,-0.4
1938-June-01,-1.2
1939-June-01,0.26
1940-June-01,0.42
1941-June-01,0.7
1942-June-01,-0.8
1943-June-01,0.03
1944-June-01,0.09
1945-June-01,-0.27
1946-June-01,-0.44
1947-June-01,-0.1
1948-June-01,-0.28
1949-June-01,-0.84
1950-June-01,-1.01
1951-June-01,0.27
1952-June-01,-0.73
1953-June-01,0.5
1954-June-01,-1.33
1955-June-01,-1.41
1956-June-01,-0.62
1957-June-01,0.9
1958-June-01,0.04
1959-June-01,-0.43
1960-June-01,-0.33
1961-June-01,0.09
1962-June-01,-0.55
1963-June-01,0.39
1964-June-01,-1.23
1965-June-01,0.71
1966-June-01,-0.32
1967-June-01,-0.12
1968-June-01,-0.09
1969-June-01,0.67
1970-June-01,-0.86
1971-June-01,-0.81
1972-June-01,0.93
1973-June-01,-0.96
1974-June-01,-0.22
1975-June-01,-1.1
1976-June-01,0.61
1977-June-01,0.16
1978-June-01,-0.7
1979-June-01,0.3
1980-June-01,0.35
1981-June-01,-0.03
1982-June-01,0.89
1983-June-01,1.74
1984-June-01,-1.1
1985-June-01,-0.85
1986-June-01,-0.27
1987-June-01,1.12
1988-June-01,-1.85
1989-June-01,-0.42
1990-June-01,0.01
1991-June-01,0.68
1992-June-01,0.45
1993-June-01,0.63
1994-June-01,-0.02
1995-June-01,-0.23
1996-June-01,-0.34
1997-June-01,1.68
1998-June-01,0.09
1999-June-01,-0.69
2000-June-01,-0.75
2001-June-01,-0.24
2002-June-01,0.42
2003-June-01,-0.5
2004-June-01,-0.19
2005-June-01,0.18
2006-June-01,-0.02
2007-June-01,-0.51
2008-June-01,-0.04
2009-June-01,0.71
2010-June-01,-0.53
2011-June-01,0.09
2012-June-01,0.5
2013-June-01,-0.71
2014-June-01,0.91
2015-June-01,1.54
2016-June-01,0.11
2017-June-01,0.06
2018-June-01,0.19
1870-July-01,-1.01
1871-July-01,-0.51
1872-July-01,-0.4
1873-July-01,-0.46
